Comment,Designator,Footprint,JLCPCB Part (optional)
1N4148W,"D_SPACE29,D_SPACE30,D_SPACE44,D_SPACE26,D_SPACE22,D_SPACE16,D_SPACE13,D_SPACE43,D_SPACE45,D_SPACE25,D_SPACE28,D_SPACE39,D_SPACE2,D_SPACE14,D_SPACE46,D_SPACE11,D_SPACE4,D_SPACE8,D_SPACE19,D_SPACE42,D_SPACE12,D_SPACE23,D_SPACE34,D_SPACE36,D_SPACE32,D_SPACE3,D_SPACE24,D_SPACE31,D_SPACE37,D_SPACE38,D_SPACE10,D_SPACE6,D_SPACE5,D_SPACE27,D_SPACE41,D_SPACE35,D_SPACE21,D_SPACE18,D_SPACE9,D_SPACE17,D_SPACE15,D_SPACE1,D_SPACE40,D_SPACE47",SOD-123,C81598
22,"UR2,UR1",R0805,C17561
16 Mhz Crystal,X1,SMD-3225_4P,C13738
4.7uF,C0,C0805,C1779
0.1uF,"C2,C4,C5,C3",C0805,C49678
10k,"R2,R1",R0805,C17414
ATMEGA32U4,U2,VQFN-44_EP_7.0x7.0x0.5P,C112161
22pF,"C8,C7",C0805,C1804
1uF,C6,C0805,C91185
1M,UR3,R0805,C17514
10uF,C1,C0805,C15850
5.1k,"UR4,UR5",R0805,C27834
2.2uF,C9,C0805,C49217
100k,UR8,R0805,C149504
HRO-TYPE-C-31-M-12,USB1,TYPE-C-31-M-12,C165948
SRV05-4,U1,SOT-23-6,C85364
4.7k,"UR7,UR6",R0805,C17673
1206L035/16YR,F1,F1206,C126817
